name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
El Pasillo,"Rúa Gamboa, 4, 36202 Vigo, Pontevedra, Spain",Spain,,,https://maps.google.com/?cid=14003274601180985266,,,,
Jukebox Vigo,"Rúa E.Heraclio Botana, 4, Santiago de Vigo, 36201 Vigo, Pontevedra, Spain",Spain,657 99 60 29,http://www.facebook.com/pages/JukeBox-Vigo/1382637891981942,https://maps.google.com/?cid=13736023229886715868,,"['#b3b5ba', '#f2f2f2', '#716e6e', '#356af5', '#fefefe']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.facebook.com_pages_JukeBox-Vigo_1382637891981942.png
20th Century Rock,"Rúa do Areal, 18, Santiago de Vigo, 36201 Vigo, Pontevedra, Spain",Spain,986 43 93 14,https://m.facebook.com/20thcenturyrock/?locale2=es_ES,https://maps.google.com/?cid=14005459828938582019,,"['#f1f1f1', '#6b6867', '#b0b2b7', '#3469f5', '#fefefe']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/m.facebook.com_20thcenturyrock_?locale2=es_ES.png
