name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
Qaroní (A Coruña),"Rúa Emilio González López, 51, bajo, 15011 A Coruña, Spain",Spain,881 02 59 24,https://qaroni.com/,https://maps.google.com/?cid=3303373921451861088,,,https://business-finder-assets-2024.s3.amazonaws.com/logos/qaroni-logo-black.webp,
Docuten Tech,"HI Coruña, Av. Porto da Coruña, 3, Planta Baja. Local 6, 15003 A Coruña, La Coruña, Spain",Spain,981 26 96 85,http://www.docuten.com/,https://maps.google.com/?cid=6618645764236301975,,,https://business-finder-assets-2024.s3.amazonaws.com/logos/logo_positivo.svg,
Plexus Tech (A Coruña),"Rúa Galileo Galilei, nº 2- 1º, 15008 A Coruña, Spain",Spain,902 99 80 05,https://www.plexus.es/,https://maps.google.com/?cid=13708329479081154242,,,https://business-finder-assets-2024.s3.amazonaws.com/logos/LOGO-PLEXUS-2020_WHITE.png,
