name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
Grupo Profand,"Av. de García Barbón, 62, Bloque 1, Entreplanta, Santiago de Vigo, 36201 Vigo, Pontevedra, Spain",Spain,986 44 73 84,https://www.profand.com/,https://maps.google.com/?cid=14228614613178827062,,"['#1c2d4a', '#f0efe8', '#a8aba7', '#715938', '#49647d']",https://business-finder-assets-2024.s3.amazonaws.com/logos/Logo_Grupo_Profand_azul.svg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.profand.com_.png
Frigorificos Pereira,"Puerto Pesquero- Dársena 4, s/n, 36202 Vigo, Pontevedra, Spain",Spain,986 44 62 65,http://www.pereira.es/,https://maps.google.com/?cid=13799283736277606835,,"['#78797b', '#221819', '#f4f5f4', '#5f5f63', '#3b3438']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-pereira.jpeg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.pereira.es_.png
Benteler,"Poligono Valladares Poligono Valladares, Parcelas 13-14, 36314 Vigo, Pontevedra, Spain",Spain,986 26 88 00,http://www.benteler.com/,https://maps.google.com/?cid=16251745105452430042,,"['#252932', '#f3f4f4', '#474848', '#8593a5', '#b1c0d3']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.benteler.com_.png
