name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
Productos Plásticos Anticorrosivos S.A.,"Playabarri Bidea, 1, Lutxana-Enekuri, 48950 Erandio, Bizkaia, Spain",Spain,944 48 33 13,http://grupoppa.es/,https://maps.google.com/?cid=5140569693611174754,,,,
Pur Elásticos,"Ribera de Axpe Etorbidea, 2, Astrabudua, 48950 Altzaga, Bizkaia, Spain",Spain,944 64 85 04,,https://maps.google.com/?cid=11803116824760445270,,,,
Astar,"Sangroniz 30, Bidea, 30A, 48150 Sondika, Vizcaya, Spain",Spain,944 53 15 98,http://www.astar.es/,https://maps.google.com/?cid=17291729825265051100,,,,
