name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
"SISTEC Tecnología y Sistemas, S.L.","Arbidea Kalea, 14, Otxarkoaga - Txurdinaga, 48004 Bilbao, Bizkaia, Spain",Spain,943 21 50 16,http://www.sistects.es/,https://maps.google.com/?cid=8971815213052002961,,,,
NTS Seidor,"Carr. Bilbao-Galdakao, 6A, 1ºLK, 48004 Bilbao, Vizcaya, Spain",Spain,944 76 28 77,http://www.nts-solutions.com/,https://maps.google.com/?cid=17938096914885217009,,,,
zabalIT,"San Vicente Kalea, 1d, 48902 Barakaldo, Bizkaia, Spain",Spain,946 07 64 66,http://zabalit.com/,https://maps.google.com/?cid=7800254022351857846,,,,
